Time,Relative Humidity (%),Temperature (°F),CO2 Levels (ppm),Population Fouquieria columnaris,Population Vitis Arizonica
2025-03-23 00:34,70.12,92.15,324.87,101,97
2025-03-23 00:49,65.47,93.9,386.56,102,96
2025-03-23 01:04,60.93,72.73,330.24,101,98
2025-03-23 01:19,74.48,92.35,319.75,101,98
2025-03-23 01:34,68.12,65.72,379.06,99,100
2025-03-23 01:49,89.23,99.22,299.55,99,99
2025-03-23 02:04,82.28,65.68,339.51,97,103
2025-03-23 02:19,74.4,95.07,260.32,101,97
2025-03-23 02:34,88.87,90.51,284.09,98,101
2025-03-23 02:49,69.35,65.76,389.99,99,101
2025-03-23 03:04,61.93,84.5,341.34,102,96
2025-03-23 03:19,70.37,95.63,328.05,102,96
2025-03-23 03:34,88.94,95.22,353.46,99,100
2025-03-23 03:49,68.02,71.3,309.87,100,99
2025-03-23 04:04,71.88,86.24,277.11,101,98
2025-03-23 04:19,83.59,86.2,312.72,99,100
2025-03-23 04:34,79.65,73.42,317.17,98,101
2025-03-23 04:49,80.88,63.0,386.52,97,103
2025-03-23 05:04,68.68,79.23,255.75,100,98
2025-03-23 05:19,79.36,89.92,284.59,100,99
2025-03-23 05:34,79.83,98.61,279.61,101,98
2025-03-23 05:49,62.76,66.51,365.74,100,99
2025-03-23 06:04,63.95,64.16,382.58,100,100
2025-03-23 06:19,69.7,87.9,389.63,101,97
2025-03-23 06:34,72.48,90.18,354.27,101,97
2025-03-23 06:49,87.51,69.98,262.97,97,104
2025-03-23 07:04,72.6,61.91,377.03,98,102
2025-03-23 07:19,71.95,93.48,345.57,101,97
2025-03-23 07:34,84.36,94.7,341.14,100,99
2025-03-23 07:49,77.83,68.2,279.3,98,102
2025-03-23 08:04,87.33,69.22,352.38,97,104
2025-03-23 08:19,62.74,91.28,280.94,102,95
2025-03-23 08:34,86.43,71.05,317.6,97,103
2025-03-23 08:49,61.02,93.89,384.03,103,95
2025-03-23 09:04,84.44,95.9,387.23,100,99
2025-03-23 09:19,72.35,61.35,350.27,98,102
2025-03-23 09:34,67.16,91.17,339.66,102,96
2025-03-23 09:49,72.11,65.76,362.76,99,101
2025-03-23 10:04,80.85,83.47,265.59,99,100
2025-03-23 10:19,84.53,92.18,320.22,99,100
2025-03-23 10:34,75.5,91.0,373.97,101,98
2025-03-23 10:49,62.22,75.48,320.2,101,98
2025-03-23 11:04,89.56,95.54,370.96,99,100
2025-03-23 11:19,79.86,68.0,325.47,98,102
2025-03-23 11:34,71.78,71.08,302.94,99,100
2025-03-23 11:49,61.66,79.82,346.6,101,97
2025-03-23 12:04,62.58,66.14,362.9,100,99
2025-03-23 12:19,71.7,71.67,298.23,99,100
2025-03-23 12:34,68.7,71.8,377.27,100,99
2025-03-23 12:49,82.19,96.96,387.53,100,98
2025-03-23 13:04,70.85,80.56,330.77,100,99
2025-03-23 13:19,73.59,99.16,261.26,102,96
2025-03-23 13:34,82.72,75.97,372.07,98,102
2025-03-23 13:49,63.57,64.01,279.27,100,100
2025-03-23 14:04,78.7,60.02,281.53,97,103
2025-03-23 14:19,66.61,98.92,275.61,103,95
2025-03-23 14:34,71.06,64.5,261.86,99,101
2025-03-23 14:49,72.43,70.53,375.44,99,100
2025-03-23 15:04,83.5,98.72,366.25,100,98
2025-03-23 15:19,72.4,86.18,313.83,101,98
2025-03-23 15:34,76.79,69.25,299.62,98,101
2025-03-23 15:49,72.63,84.76,291.94,100,98
2025-03-23 16:04,77.34,80.77,267.94,99,100
2025-03-23 16:19,86.07,82.35,374.54,98,101
2025-03-23 16:34,65.95,99.45,351.57,103,95
2025-03-23 16:49,76.28,83.13,319.53,100,99
2025-03-23 17:04,67.41,86.34,362.19,101,97
2025-03-23 17:19,86.84,91.05,308.97,99,100
2025-03-23 17:34,66.8,63.53,259.28,99,100
2025-03-23 17:49,83.61,68.45,378.03,97,103
2025-03-23 18:04,85.92,77.15,268.56,98,102
2025-03-23 18:19,63.95,72.03,363.4,100,98
2025-03-23 18:34,70.93,79.72,307.0,100,99
2025-03-23 18:49,89.98,75.24,284.64,97,103
2025-03-23 19:04,81.51,69.37,289.47,97,102
2025-03-23 19:19,78.41,60.85,278.15,97,103
2025-03-23 19:34,69.12,99.12,373.37,102,95
2025-03-23 19:49,69.18,91.39,298.23,102,97
2025-03-23 20:04,73.11,90.96,358.06,101,97
2025-03-23 20:19,75.3,76.76,333.73,99,100
2025-03-23 20:34,72.28,65.32,325.88,98,101
2025-03-23 20:49,84.86,74.15,306.06,97,102
2025-03-23 21:04,61.42,75.61,265.33,101,97
2025-03-23 21:19,85.63,89.34,296.58,99,100
2025-03-23 21:34,71.25,64.13,369.25,98,101
2025-03-23 21:49,79.36,73.12,362.0,98,101
2025-03-23 22:04,77.58,66.44,315.56,98,102
2025-03-23 22:19,68.56,61.0,250.24,99,101
2025-03-23 22:34,67.49,61.04,285.3,99,101
2025-03-23 22:49,60.57,68.66,378.2,101,98
2025-03-23 23:04,64.87,73.27,287.3,100,98
2025-03-23 23:19,68.67,85.61,347.1,101,97
2025-03-23 23:34,62.48,77.51,345.73,101,97
2025-03-23 23:49,73.67,94.52,270.38,101,97
2025-03-24 00:04,82.81,93.36,331.45,100,99
2025-03-24 00:19,64.82,90.72,338.89,102,96
2025-03-24 00:34,82.35,82.55,328.21,99,101
2025-03-24 00:49,66.2,93.45,255.09,102,96
2025-03-24 01:04,86.37,86.15,288.51,98,101
2025-03-24 01:19,82.35,64.51,360.16,97,103
2025-03-24 01:34,74.36,62.07,329.42,98,102
2025-03-24 01:49,81.85,65.53,281.94,97,103
2025-03-24 02:04,66.43,90.14,336.08,102,96
2025-03-24 02:19,87.43,80.27,352.5,98,102
2025-03-24 02:34,72.28,69.56,326.17,99,101
2025-03-24 02:49,89.0,91.14,370.41,99,101
2025-03-24 03:04,61.55,91.6,354.74,103,95
2025-03-24 03:19,67.19,77.36,354.42,100,98
2025-03-24 03:34,86.07,88.58,296.09,99,100
2025-03-24 03:49,61.56,88.82,299.45,102,95
2025-03-24 04:04,72.88,96.69,356.32,101,97
2025-03-24 04:19,72.4,86.51,276.22,101,98
2025-03-24 04:34,69.02,79.34,305.21,100,98
2025-03-24 04:49,89.29,88.06,320.45,98,101
2025-03-24 05:04,80.85,84.52,305.4,99,100
2025-03-24 05:19,62.21,74.73,340.44,101,98
2025-03-24 05:34,65.78,92.49,262.18,102,96
2025-03-24 05:49,63.11,78.22,309.81,101,97
2025-03-24 06:04,80.46,75.04,291.12,98,101
2025-03-24 06:19,79.75,68.08,326.67,98,102
2025-03-24 06:34,79.53,62.93,274.62,97,103
2025-03-24 06:49,75.55,99.03,366.58,101,97
2025-03-24 07:04,84.58,86.64,316.31,99,100
2025-03-24 07:19,66.16,90.16,339.4,102,96
2025-03-24 07:34,67.02,94.84,345.53,102,96
2025-03-24 07:49,79.77,63.11,342.76,97,103
2025-03-24 08:04,67.68,66.4,257.96,99,100
2025-03-24 08:19,84.11,90.83,252.65,99,100
2025-03-24 08:34,76.23,65.13,281.95,98,102
2025-03-24 08:49,82.27,96.22,263.76,100,99
2025-03-24 09:04,84.55,74.47,263.29,98,102
2025-03-24 09:19,81.09,73.72,280.85,98,102
2025-03-24 09:34,88.3,75.41,375.3,97,103
2025-03-24 09:49,71.94,73.33,330.86,99,100
2025-03-24 10:04,69.6,97.36,256.83,102,96
2025-03-24 10:19,71.32,62.18,279.39,98,101
2025-03-24 10:34,79.01,63.41,282.73,97,103
2025-03-24 10:49,89.42,94.31,319.25,99,100
2025-03-24 11:04,78.37,92.6,258.52,100,98
2025-03-24 11:19,80.27,86.37,348.58,99,100
2025-03-24 11:34,89.82,80.29,319.42,97,102
2025-03-24 11:49,72.84,60.0,356.85,98,102
2025-03-24 12:04,76.85,73.66,251.66,99,101
2025-03-24 12:19,63.33,81.61,266.85,101,97
2025-03-24 12:34,64.81,79.17,372.28,101,98
2025-03-24 12:49,67.28,85.67,261.26,101,97
2025-03-24 13:04,82.39,87.43,319.48,99,100
2025-03-24 13:19,72.79,63.93,255.02,98,101
2025-03-24 13:34,70.44,65.14,261.81,99,101
2025-03-24 13:49,88.63,88.0,265.32,98,101
2025-03-24 14:04,60.0,67.09,292.49,100,98
2025-03-24 14:19,75.05,83.4,347.7,100,99
2025-03-24 14:34,89.03,62.14,301.75,96,105
2025-03-24 14:49,80.59,72.28,309.14,98,102
2025-03-24 15:04,68.61,92.88,254.0,102,96
2025-03-24 15:19,77.58,62.5,275.84,97,103
2025-03-24 15:34,75.98,76.95,288.53,99,100
2025-03-24 15:49,87.22,64.8,332.31,96,104
2025-03-24 16:04,80.86,87.42,270.69,99,100
