Time,Relative Humidity (%),Temperature (°F),CO2 Levels (ppm),Population Fouquieria columnaris,Population Vitis Arizonica
2025-03-23 00:34,82.64,66.65,337.12,97,103
2025-03-23 00:49,84.55,77.1,377.78,98,102
2025-03-23 01:04,80.72,87.75,306.75,99,99
2025-03-23 01:19,81.31,98.68,350.24,100,98
2025-03-23 01:34,66.71,83.25,285.03,101,97
2025-03-23 01:49,64.24,75.28,259.22,101,98
2025-03-23 02:04,61.87,63.51,311.65,100,99
2025-03-23 02:19,76.26,68.16,309.23,98,102
2025-03-23 02:34,74.41,97.89,276.16,101,97
2025-03-23 02:49,75.43,86.35,318.25,100,99
2025-03-23 03:04,62.08,93.71,324.49,103,95
2025-03-23 03:19,70.62,76.02,382.33,100,99
2025-03-23 03:34,73.22,66.4,312.62,98,101
2025-03-23 03:49,73.22,76.48,293.19,99,100
2025-03-23 04:04,68.17,75.47,366.64,100,99
2025-03-23 04:19,66.1,65.21,378.3,99,100
2025-03-23 04:34,66.22,88.25,313.68,102,97
2025-03-23 04:49,60.96,61.94,301.51,100,99
2025-03-23 05:04,79.58,67.83,366.76,98,102
2025-03-23 05:19,72.78,97.51,364.95,102,96
2025-03-23 05:34,86.78,80.61,297.4,98,102
2025-03-23 05:49,75.29,73.08,318.22,99,101
2025-03-23 06:04,66.16,87.1,359.93,102,97
2025-03-23 06:19,61.94,96.34,309.66,103,94
2025-03-23 06:34,81.61,97.52,361.21,100,98
2025-03-23 06:49,63.08,62.35,346.84,100,100
2025-03-23 07:04,73.46,86.13,298.81,100,98
2025-03-23 07:19,62.44,84.53,369.37,102,96
2025-03-23 07:34,76.05,98.23,367.95,101,97
2025-03-23 07:49,76.21,67.42,303.11,98,102
2025-03-23 08:04,80.17,71.18,298.04,98,102
2025-03-23 08:19,72.07,67.9,370.13,99,101
2025-03-23 08:34,71.55,87.89,265.76,101,98
2025-03-23 08:49,87.02,70.79,278.6,97,103
2025-03-23 09:04,79.43,86.57,275.15,99,99
2025-03-23 09:19,83.45,89.27,298.12,99,100
2025-03-23 09:34,79.27,70.3,269.84,98,102
2025-03-23 09:49,67.67,79.89,328.45,101,98
2025-03-23 10:04,73.22,94.23,306.43,101,97
2025-03-23 10:19,84.0,95.82,258.91,100,99
2025-03-23 10:34,62.38,92.73,369.57,103,95
2025-03-23 10:49,86.5,73.55,321.8,97,103
2025-03-23 11:04,68.71,76.56,318.29,100,99
2025-03-23 11:19,63.96,78.68,338.71,101,97
2025-03-23 11:34,66.71,87.85,334.2,102,97
2025-03-23 11:49,78.06,82.83,337.61,99,100
2025-03-23 12:04,80.42,97.33,299.39,100,98
2025-03-23 12:19,60.71,82.95,303.22,102,96
2025-03-23 12:34,65.49,94.87,337.81,102,95
2025-03-23 12:49,83.53,61.27,298.85,96,104
2025-03-23 13:04,87.96,72.48,369.84,97,103
2025-03-23 13:19,76.43,81.19,274.82,99,100
2025-03-23 13:34,87.15,62.53,377.59,96,105
2025-03-23 13:49,82.69,99.32,293.74,100,98
2025-03-23 14:04,75.91,60.57,300.77,97,103
2025-03-23 14:19,62.09,60.44,366.44,99,100
2025-03-23 14:34,72.75,90.69,261.83,101,97
2025-03-23 14:49,69.88,67.1,282.87,99,100
2025-03-23 15:04,72.57,86.35,292.12,100,98
2025-03-23 15:19,81.99,76.28,285.21,98,101
2025-03-23 15:34,60.3,74.31,315.16,101,97
2025-03-23 15:49,81.3,77.99,302.46,98,101
2025-03-23 16:04,79.06,69.22,319.75,98,102
2025-03-23 16:19,66.11,86.17,317.66,101,97
2025-03-23 16:34,64.58,79.84,342.96,101,97
2025-03-23 16:49,71.66,96.38,316.09,102,96
2025-03-23 17:04,72.89,74.69,340.5,99,100
2025-03-23 17:19,80.72,66.9,278.76,97,103
2025-03-23 17:34,66.97,75.12,284.88,100,99
2025-03-23 17:49,76.75,86.55,291.02,100,99
2025-03-23 18:04,88.24,96.58,288.51,99,100
2025-03-23 18:19,73.65,74.93,368.11,99,100
2025-03-23 18:34,63.66,83.63,266.68,102,97
2025-03-23 18:49,61.9,70.59,329.18,101,98
2025-03-23 19:04,85.37,81.27,283.65,98,101
2025-03-23 19:19,71.94,79.45,250.2,100,99
2025-03-23 19:34,82.05,81.74,287.4,99,101
2025-03-23 19:49,85.2,94.52,344.13,99,99
2025-03-23 20:04,70.66,81.06,291.39,100,98
2025-03-23 20:19,73.92,60.35,388.89,98,102
2025-03-23 20:34,87.8,65.09,349.48,96,104
2025-03-23 20:49,62.2,86.2,278.78,102,96
2025-03-23 21:04,73.44,78.67,273.59,100,99
2025-03-23 21:19,79.96,84.12,260.62,99,100
2025-03-23 21:34,64.48,78.63,306.93,101,98
2025-03-23 21:49,82.1,85.82,305.53,99,100
2025-03-23 22:04,64.26,98.81,367.66,103,95
2025-03-23 22:19,63.76,83.02,340.16,101,97
2025-03-23 22:34,89.7,90.19,301.12,98,101
2025-03-23 22:49,72.99,80.79,356.04,100,99
2025-03-23 23:04,87.01,75.32,295.19,97,103
2025-03-23 23:19,71.47,98.38,277.92,102,96
2025-03-23 23:34,84.45,75.63,344.29,98,102
2025-03-23 23:49,89.96,91.76,384.36,98,101
2025-03-24 00:04,69.24,64.58,266.7,99,101
2025-03-24 00:19,70.52,84.04,351.47,101,98
2025-03-24 00:34,77.67,98.24,350.0,101,97
2025-03-24 00:49,78.75,73.0,274.39,98,101
2025-03-24 01:04,79.17,72.86,368.96,98,101
2025-03-24 01:19,76.8,86.96,363.64,100,99
2025-03-24 01:34,67.91,75.5,366.25,100,99
2025-03-24 01:49,63.18,60.16,291.93,99,100
2025-03-24 02:04,81.01,82.05,346.98,99,100
2025-03-24 02:19,69.85,84.2,364.87,101,98
2025-03-24 02:34,66.24,79.5,307.57,101,98
2025-03-24 02:49,77.97,66.21,328.82,98,102
2025-03-24 03:04,62.53,62.27,365.26,100,100
