Time,Relative Humidity (%),Temperature (°F),CO2 Levels (ppm),Plant Population
2025-03-22 00:00:00,60.18803100401607,80.0,308.98487382108937,100.0
2025-03-22 00:15:00,64.65587213820058,80.04674984810579,331.6050516148974,100.0
2025-03-22 00:30:00,88.58071367441687,80.09349944077611,300.26229759397756,99.0
2025-03-22 00:45:00,64.41547346870229,80.14024852257687,366.77001357721684,99.0
2025-03-22 01:00:00,62.178721257505565,80.18699683807678,312.5093865180953,98.0
2025-03-22 01:15:00,63.43920898059944,80.23374413184875,268.43277758213395,98.0
2025-03-22 01:30:00,67.7186596621172,80.28049014847124,319.56200631729035,98.0
2025-03-22 01:45:00,69.78543129438687,80.32723463252974,297.87113343603914,100.0
2025-03-22 02:00:00,66.2845098072034,80.37397732861804,338.46604759467914,98.0
2025-03-22 02:15:00,80.83731094573443,80.42071798133978,279.0294048585463,99.0
2025-03-22 02:30:00,72.83941580018259,80.4674563353097,378.3864556596284,98.0
2025-03-22 02:45:00,86.19497348598367,80.51419213515514,348.7166012795121,99.0
2025-03-22 03:00:00,85.35434506154311,80.56092512551739,336.3085979615921,100.0
2025-03-22 03:15:00,75.2381284100319,80.60765505105304,366.54351800514974,99.0
2025-03-22 03:30:00,85.61040241392735,80.65438165643552,319.48575816976273,99.0
2025-03-22 03:45:00,74.68755776685973,80.70110468635633,287.74049562872506,98.0
2025-03-22 04:00:00,67.00989829882434,80.74782388552651,323.452049296505,98.0
2025-03-22 04:15:00,79.74529189564865,80.79453899867806,351.56235345045604,98.0
2025-03-22 04:30:00,61.52486152318476,80.8412497705653,257.47700749429447,98.0
2025-03-22 04:45:00,75.40020719944056,80.88795594596624,343.61798423266805,98.0
2025-03-22 05:00:00,75.02462247682371,80.93465726968405,268.2228851835434,98.0
2025-03-22 05:15:00,63.56778288577932,80.98135348654836,313.67465200074173,98.0
2025-03-22 05:30:00,86.90555685234257,81.02804434141675,295.72223741016995,99.0
2025-03-22 05:45:00,88.67085608422792,81.07472957917605,252.43376299813372,98.0
2025-03-22 06:00:00,73.63999742979935,81.12140894474383,304.4902265754013,98.0
2025-03-22 06:15:00,81.1659401706749,81.16808218306973,341.4440682826541,97.0
2025-03-22 06:30:00,75.42193698730688,81.21474903913682,274.484380780253,97.0
2025-03-22 06:45:00,84.19274774883634,81.26140925796312,377.2638271207718,96.0
2025-03-22 07:00:00,63.46454840207642,81.30806258460287,268.14813622192264,96.0
2025-03-22 07:15:00,63.282910155571564,81.35470876414796,360.4876809533475,96.0
2025-03-22 07:30:00,80.84478660017196,81.40134754172935,326.7748476412803,96.0
2025-03-22 07:45:00,77.00577988242236,81.44797866251845,381.0641974090689,96.0
2025-03-22 08:00:00,71.47543513155502,81.49460187172849,336.28561781681594,96.0
2025-03-22 08:15:00,85.1774959292834,81.54121691461593,294.6128097639347,97.0
2025-03-22 08:30:00,70.74007370845398,81.58782353648185,287.11957271327447,97.0
2025-03-22 08:45:00,77.92341840758219,81.63442148267336,332.63118138931986,98.0
2025-03-22 09:00:00,84.02169411924626,81.68101049858495,343.17140146638116,98.0
