time,relative_humidity,temperature,co2_levels,population
2025-03-22 17:05:13,77.08,97.97,253.2,100.0
2025-03-22 17:20:13,64.23,92.41,260.87,100.0
2025-03-22 17:35:13,68.73,80.7,369.5,100.0
2025-03-22 17:50:13,89.58,69.1,281.67,100.0
2025-03-22 18:05:13,69.27,73.55,270.18,100.0
2025-03-22 18:20:13,67.97,65.91,308.55,100.0
2025-03-22 18:35:13,77.09,62.94,310.66,100.0
2025-03-22 18:50:13,60.52,93.67,320.82,100.0
2025-03-22 19:05:13,71.94,62.87,283.61,100.0
2025-03-22 19:20:13,67.18,74.98,257.09,100.0
2025-03-22 19:35:13,69.59,76.08,360.58,100.0
2025-03-22 19:50:13,81.13,60.99,306.91,100.0
2025-03-22 20:05:13,82.23,61.62,279.05,100.0
2025-03-22 20:20:13,68.16,60.63,320.91,100.0
2025-03-22 20:35:13,83.17,99.39,326.37,100.0
2025-03-22 20:50:13,73.35,87.47,314.72,100.0
2025-03-22 21:05:13,76.12,85.43,261.91,100.0
2025-03-22 21:20:13,81.59,70.12,300.15,101.0
2025-03-22 21:35:13,82.57,95.11,288.9,101.0
2025-03-22 21:50:13,80.48,82.47,338.98,101.0
2025-03-22 22:05:13,67.6,62.33,299.14,101.0
2025-03-22 22:20:13,82.36,90.56,275.67,101.0
2025-03-22 22:35:13,86.41,83.59,280.33,101.0
2025-03-22 22:50:13,77.82,83.88,294.87,101.0
2025-03-22 23:05:13,80.19,89.28,277.49,101.0
2025-03-22 23:20:13,73.21,60.05,309.42,100.0
2025-03-22 23:35:13,79.41,88.84,321.36,101.0
2025-03-22 23:50:13,73.15,96.52,312.28,101.0
2025-03-23 00:05:13,76.05,83.09,332.58,101.0
2025-03-23 00:20:13,74.34,89.3,337.31,101.0
2025-03-23 00:35:13,82.51,62.81,250.21,101.0
2025-03-23 00:50:13,68.31,94.01,329.66,101.0
2025-03-23 01:05:13,68.47,96.01,385.3,100.0
2025-03-23 01:20:13,73.69,85.81,261.07,100.0
2025-03-23 01:35:13,84.64,81.84,317.91,100.0
2025-03-23 01:50:13,72.65,71.86,352.1,101.0
2025-03-23 02:05:13,76.58,94.08,374.07,100.0
2025-03-23 02:20:13,72.81,86.99,367.8,100.0
2025-03-23 02:35:13,60.38,97.72,275.95,100.0
2025-03-23 02:50:13,63.52,87.43,379.31,100.0
2025-03-23 03:05:13,69.84,76.38,259.14,100.0
2025-03-23 03:20:13,66.41,79.78,364.95,100.0
2025-03-23 03:35:13,74.09,84.3,334.64,100.0
2025-03-23 03:50:13,80.75,73.03,259.6,100.0
2025-03-23 04:05:13,77.99,60.0,352.73,101.0
2025-03-23 04:20:13,72.59,97.86,279.37,101.0
2025-03-23 04:35:13,68.63,78.32,326.14,101.0
2025-03-23 04:50:13,61.88,75.24,252.33,101.0
2025-03-23 05:05:13,85.26,98.74,345.4,101.0
2025-03-23 05:20:13,65.87,92.99,291.0,100.0
2025-03-23 05:35:13,62.78,85.17,379.11,100.0
