time,relative_humidity,temperature,co2_levels,population
2025-03-22 17:05:13,71.38,80.52,314.47,100.0
2025-03-22 17:20:13,69.77,64.9,340.28,100.0
2025-03-22 17:35:13,79.03,72.11,312.18,100.0
2025-03-22 17:50:13,79.68,98.62,332.38,100.0
2025-03-22 18:05:13,60.12,98.5,365.23,100.0
2025-03-22 18:20:13,81.04,96.14,342.72,100.0
2025-03-22 18:35:13,67.56,83.09,382.54,101.0
2025-03-22 18:50:13,61.25,81.39,252.02,101.0
2025-03-22 19:05:13,61.39,86.63,318.82,100.0
2025-03-22 19:20:13,89.66,81.22,259.41,100.0
2025-03-22 19:35:13,63.54,65.89,273.88,101.0
2025-03-22 19:50:13,84.84,69.77,313.97,101.0
2025-03-22 20:05:13,75.26,81.31,298.25,101.0
2025-03-22 20:20:13,72.41,85.75,382.56,101.0
2025-03-22 20:35:13,86.55,87.89,381.85,101.0
2025-03-22 20:50:13,71.33,95.57,304.56,102.0
2025-03-22 21:05:13,88.58,76.73,251.84,102.0
2025-03-22 21:20:13,73.44,94.48,313.58,102.0
2025-03-22 21:35:13,88.34,61.15,329.3,102.0
2025-03-22 21:50:13,79.78,68.48,318.98,102.0
2025-03-22 22:05:13,83.48,76.92,305.88,101.0
2025-03-22 22:20:13,66.3,63.26,358.07,102.0
2025-03-22 22:35:13,89.72,84.12,258.92,102.0
2025-03-22 22:50:13,81.04,81.0,351.55,102.0
2025-03-22 23:05:13,64.56,96.98,256.34,102.0
2025-03-22 23:20:13,89.92,91.61,254.87,101.0
2025-03-22 23:35:13,76.39,92.5,317.19,101.0
2025-03-22 23:50:13,60.77,74.91,270.45,101.0
2025-03-23 00:05:13,67.76,99.45,277.29,101.0
2025-03-23 00:20:13,74.14,67.24,379.59,101.0
2025-03-23 00:35:13,71.43,87.82,376.17,101.0
2025-03-23 00:50:13,85.0,90.24,274.17,101.0
2025-03-23 01:05:13,81.86,85.83,269.57,101.0
2025-03-23 01:20:13,69.37,82.46,275.25,101.0
2025-03-23 01:35:13,80.79,74.5,254.99,101.0
2025-03-23 01:50:13,66.25,79.08,370.43,101.0
2025-03-23 02:05:13,70.51,75.45,368.93,101.0
2025-03-23 02:20:13,69.88,69.19,385.95,101.0
2025-03-23 02:35:13,81.14,82.32,340.33,101.0
2025-03-23 02:50:13,74.7,81.54,278.52,101.0
2025-03-23 03:05:13,64.48,92.24,262.67,101.0
2025-03-23 03:20:13,67.52,64.83,293.47,101.0
2025-03-23 03:35:13,66.35,94.89,291.47,101.0
2025-03-23 03:50:13,82.42,79.97,351.34,101.0
2025-03-23 04:05:13,71.8,98.09,330.35,101.0
2025-03-23 04:20:13,78.2,88.22,360.91,100.0
2025-03-23 04:35:13,73.28,66.16,359.67,100.0
2025-03-23 04:50:13,64.28,61.26,270.31,100.0
2025-03-23 05:05:13,72.28,81.99,365.69,100.0
2025-03-23 05:20:13,70.71,96.3,305.73,100.0
2025-03-23 05:35:13,60.27,66.95,362.29,101.0
2025-03-23 05:50:13,75.89,76.4,348.08,101.0
2025-03-23 06:05:13,69.03,75.12,253.54,100.0
2025-03-23 06:20:13,74.37,70.53,376.16,101.0
2025-03-23 06:35:13,70.54,77.43,308.27,100.0
2025-03-23 06:50:13,66.35,83.45,335.24,100.0
2025-03-23 07:05:13,88.47,78.51,265.01,100.0
2025-03-23 07:20:13,84.0,90.07,375.35,100.0
2025-03-23 07:35:13,60.44,78.58,365.88,100.0
2025-03-23 07:50:13,87.61,73.07,352.51,100.0
2025-03-23 08:05:13,60.35,94.85,270.69,100.0
2025-03-23 08:20:13,62.48,82.5,323.32,100.0
2025-03-23 08:35:13,74.41,65.41,250.34,100.0
2025-03-23 08:50:13,61.3,67.89,274.66,100.0
2025-03-23 09:05:13,81.38,82.52,387.36,100.0
2025-03-23 09:20:13,60.4,74.27,281.98,101.0
2025-03-23 09:35:13,85.79,63.27,275.64,101.0
2025-03-23 09:50:13,89.86,65.3,301.82,101.0
2025-03-23 10:05:13,79.79,81.79,341.97,101.0
2025-03-23 10:20:13,70.64,81.25,274.49,101.0
2025-03-23 10:35:13,69.39,72.07,351.04,101.0
2025-03-23 10:50:13,72.48,87.24,290.15,101.0
2025-03-23 11:05:13,68.87,65.56,313.18,101.0
2025-03-23 11:20:13,90.0,63.73,373.93,101.0
2025-03-23 11:35:13,79.46,84.32,253.94,101.0
2025-03-23 11:50:13,77.01,97.61,252.52,101.0
2025-03-23 12:05:13,87.72,75.77,302.64,101.0
2025-03-23 12:20:13,79.39,79.49,266.61,101.0
2025-03-23 12:35:13,72.13,81.5,329.96,101.0
2025-03-23 12:50:13,60.53,76.58,303.42,102.0
2025-03-23 13:05:13,69.85,96.99,379.64,101.0
2025-03-23 13:20:13,74.25,92.86,294.4,101.0
2025-03-23 13:35:13,78.94,94.6,250.73,101.0
2025-03-23 13:50:13,63.56,79.37,329.88,101.0
2025-03-23 14:05:13,66.6,75.63,287.11,101.0
2025-03-23 14:20:13,87.84,92.98,270.31,101.0
2025-03-23 14:35:13,67.47,97.59,254.3,101.0
2025-03-23 14:50:13,78.46,84.9,361.83,100.0
2025-03-23 15:05:13,65.6,67.89,290.42,100.0
2025-03-23 15:20:13,71.42,79.58,342.11,100.0
2025-03-23 15:35:13,65.89,70.24,359.3,100.0
2025-03-23 15:50:13,66.19,60.51,253.48,100.0
2025-03-23 16:05:13,72.35,63.89,281.59,100.0
2025-03-23 16:20:13,81.07,76.85,305.61,100.0
2025-03-23 16:35:13,84.55,67.69,291.68,100.0
2025-03-23 16:50:13,72.36,76.26,312.61,100.0
2025-03-23 17:05:13,73.19,92.94,292.4,100.0
2025-03-23 17:20:13,79.32,64.18,290.56,100.0
2025-03-23 17:35:13,65.92,61.73,389.63,100.0
2025-03-23 17:50:13,60.76,84.81,313.79,100.0
2025-03-23 18:05:13,73.93,61.89,286.14,100.0
2025-03-23 18:20:13,71.63,86.35,314.19,100.0
2025-03-23 18:35:13,81.03,67.57,349.82,100.0
2025-03-23 18:50:13,80.0,73.75,287.65,100.0
2025-03-23 19:05:13,76.64,99.53,257.87,100.0
2025-03-23 19:20:13,62.13,83.8,284.99,100.0
2025-03-23 19:35:13,69.34,77.31,326.07,100.0
2025-03-23 19:50:13,61.65,98.29,375.05,100.0
2025-03-23 20:05:13,65.61,74.68,334.84,99.0
2025-03-23 20:20:13,87.35,66.51,282.49,100.0
2025-03-23 20:35:13,88.5,76.52,276.57,99.0
2025-03-23 20:50:13,86.62,89.48,319.58,99.0
2025-03-23 21:05:13,79.56,97.33,330.35,99.0
2025-03-23 21:20:13,85.14,65.63,348.45,99.0
2025-03-23 21:35:13,84.77,68.87,310.55,99.0
2025-03-23 21:50:13,69.04,89.74,325.87,99.0
2025-03-23 22:05:13,61.57,78.6,344.55,99.0
2025-03-23 22:20:13,63.09,79.53,367.43,99.0
2025-03-23 22:35:13,81.1,84.57,310.19,100.0
2025-03-23 22:50:13,83.87,61.45,367.41,99.0
2025-03-23 23:05:13,64.7,70.4,323.93,99.0
2025-03-23 23:20:13,60.85,96.56,306.99,100.0
2025-03-23 23:35:13,66.18,85.35,367.41,100.0
2025-03-23 23:50:13,81.95,73.66,335.77,100.0
2025-03-24 00:05:13,72.39,97.11,298.76,99.0
2025-03-24 00:20:13,61.87,64.33,388.03,100.0
2025-03-24 00:35:13,75.5,75.8,255.48,100.0
2025-03-24 00:50:13,89.14,77.85,283.52,99.0
2025-03-24 01:05:13,78.3,96.67,384.75,99.0
2025-03-24 01:20:13,88.88,91.03,355.15,99.0
2025-03-24 01:35:13,69.22,64.54,311.34,98.0
2025-03-24 01:50:13,77.5,92.42,356.61,98.0
2025-03-24 02:05:13,79.0,70.45,355.9,98.0
2025-03-24 02:20:13,84.79,64.13,323.38,98.0
2025-03-24 02:35:13,77.44,73.32,255.31,98.0
2025-03-24 02:50:13,71.78,65.91,318.89,98.0
2025-03-24 03:05:13,86.04,94.58,306.95,98.0
2025-03-24 03:20:13,72.02,83.58,345.79,99.0
2025-03-24 03:35:13,63.18,81.76,332.53,99.0
2025-03-24 03:50:13,84.38,83.52,358.21,99.0
2025-03-24 04:05:13,85.84,81.78,252.8,99.0
2025-03-24 04:20:13,80.01,76.92,314.24,98.0
2025-03-24 04:35:13,77.37,66.21,258.98,98.0
2025-03-24 04:50:13,78.84,89.74,311.44,98.0
2025-03-24 05:05:13,84.42,74.0,378.96,98.0
2025-03-24 05:20:13,63.12,64.36,326.79,98.0
2025-03-24 05:35:13,60.34,88.06,294.41,98.0
2025-03-24 05:50:13,77.61,73.3,375.93,98.0
2025-03-24 06:05:13,81.21,93.84,271.94,98.0
2025-03-24 06:20:13,63.87,63.84,286.42,98.0
2025-03-24 06:35:13,86.31,88.74,314.36,98.0
2025-03-24 06:50:13,84.89,84.65,311.01,98.0
2025-03-24 07:05:13,79.66,69.2,330.24,98.0
2025-03-24 07:20:13,77.01,82.29,252.33,99.0
2025-03-24 07:35:13,73.14,64.62,323.27,98.0
2025-03-24 07:50:13,70.32,84.26,301.27,98.0
2025-03-24 08:05:13,87.95,63.38,360.36,98.0
2025-03-24 08:20:13,70.03,88.28,364.78,98.0
2025-03-24 08:35:13,78.61,86.1,366.86,98.0
2025-03-24 08:50:13,65.05,63.33,385.93,98.0
2025-03-24 09:05:13,69.37,70.05,370.63,98.0
2025-03-24 09:20:13,67.65,61.21,253.54,98.0
2025-03-24 09:35:13,88.83,85.89,343.14,98.0
2025-03-24 09:50:13,74.46,68.15,281.06,98.0
2025-03-24 10:05:13,79.37,73.74,265.06,98.0
2025-03-24 10:20:13,71.47,83.04,281.98,98.0
2025-03-24 10:35:13,67.29,90.96,389.31,99.0
2025-03-24 10:50:13,60.01,70.1,327.27,98.0
2025-03-24 11:05:13,78.15,89.55,356.81,99.0
2025-03-24 11:20:13,62.67,66.22,269.27,99.0
2025-03-24 11:35:13,67.37,60.36,287.02,98.0
2025-03-24 11:50:13,78.84,87.27,340.96,98.0
2025-03-24 12:05:13,72.6,72.32,269.26,98.0
2025-03-24 12:20:13,67.31,63.31,368.77,98.0
2025-03-24 12:35:13,63.52,83.63,301.59,98.0
2025-03-24 12:50:13,85.68,79.94,353.47,98.0
2025-03-24 13:05:13,61.79,97.98,314.53,98.0
2025-03-24 13:20:13,65.89,67.41,314.65,98.0
2025-03-24 13:35:13,64.66,91.64,330.09,98.0
2025-03-24 13:50:13,74.52,62.76,378.44,98.0
2025-03-24 14:05:13,79.64,87.65,331.19,98.0
2025-03-24 14:20:13,65.93,60.66,302.53,97.0
2025-03-24 14:35:13,77.53,82.44,318.11,97.0
2025-03-24 14:50:13,84.95,88.02,367.28,97.0
2025-03-24 15:05:13,76.75,71.29,384.38,97.0
2025-03-24 15:20:13,85.12,60.08,341.41,98.0
2025-03-24 15:35:13,84.65,64.89,263.2,97.0
2025-03-24 15:50:13,86.19,83.27,296.29,98.0
2025-03-24 16:05:13,71.1,85.9,288.31,98.0
2025-03-24 16:20:13,79.1,93.59,262.56,98.0
2025-03-24 16:35:13,63.07,97.84,344.02,98.0
2025-03-24 16:50:13,63.92,98.98,312.01,98.0
2025-03-24 17:05:13,74.74,82.76,311.18,98.0
2025-03-24 17:20:13,74.57,95.72,277.83,98.0
2025-03-24 17:35:13,71.08,83.98,377.51,98.0
2025-03-24 17:50:13,77.7,63.24,322.31,98.0
2025-03-24 18:05:13,60.78,80.13,337.86,98.0
2025-03-24 18:20:13,74.81,88.49,343.2,98.0
2025-03-24 18:35:13,75.67,85.31,261.64,98.0
2025-03-24 18:50:13,72.26,79.26,300.14,98.0
2025-03-24 19:05:13,68.28,97.24,283.4,98.0
2025-03-24 19:20:13,88.5,69.86,259.46,98.0
2025-03-24 19:35:13,64.99,68.49,317.86,98.0
2025-03-24 19:50:13,74.46,77.9,352.76,98.0
2025-03-24 20:05:13,88.59,65.14,348.83,98.0
2025-03-24 20:20:13,79.91,98.16,286.44,98.0
2025-03-24 20:35:13,69.83,83.22,317.97,98.0
2025-03-24 20:50:13,61.58,87.68,295.66,98.0
2025-03-24 21:05:13,80.45,75.1,280.6,98.0
2025-03-24 21:20:13,62.16,82.09,341.69,98.0
2025-03-24 21:35:13,89.19,83.02,316.02,98.0
2025-03-24 21:50:13,61.11,71.67,386.14,98.0
2025-03-24 22:05:13,77.23,91.0,378.08,98.0
2025-03-24 22:20:13,67.21,88.86,278.91,98.0
2025-03-24 22:35:13,84.65,93.48,388.69,98.0
2025-03-24 22:50:13,82.38,61.82,379.1,98.0
2025-03-24 23:05:13,78.19,92.37,381.53,98.0
2025-03-24 23:20:13,82.47,66.83,309.23,98.0
